timestamp,text,start_time,end_time
"(0.0, 13.6)", we'll let them in once we get all right,0.0,13.6
"(39.0, 40.0)", you know I'm still not coming up on YouTube yet. Hello?,39.0,40.0
"(40.0, 46.16)"," Yeah, Chair and Cleo, I'd like to take just a second to say uh big mahalo thank you so much for your",40.0,46.16
"(46.16, 53.92)", part and the staff's part aaron dean ryan katie everybody in the uh nars extension for the uh,46.16,53.92
"(54.48, 60.8)", west maui watershed preserve the nars grant of three million dollars a year was extended for,54.48,60.8
"(60.8, 65.44)", another six years which is just fabulous it's a wonderful preserve and a,60.8,65.44
"(66.16, 73.28)", just a great resource for maui thank you so much that's just a it was uh just a wonderful wonderful,66.16,73.28
"(73.28, 78.48)", thing to see it cruise through so well and it just clearly had the right support thanks so much,73.28,78.48
"(78.48, 86.08)", oh you're welcome it's good projects feel good projects all right um okay youtube is good so you,78.48,86.08
"(86.08, 92.0)", can start recording and then share your ready people,86.08,92.0
"(108.0, 113.0)"," yeah here you go. Okay, a little my cock hole.",108.0,113.0
"(113.0, 121.0)"," My name is Don Chang, share of the of the Board of Land and Natural Resources, and share of the commission of the Water Commission.",113.0,121.0
"(121.0, 127.24)"," This is May sixteenth, 2,023 meeting of the Commission on Water Resource Management.",121.0,127.24
"(127.24, 137.18)", It is 9.06. We are holding this meeting as a hybrid meeting. Some of us are in person,127.24,137.18
"(137.18, 142.98)", and will be hearing in the Kalani Moko building boardroom in Honolulu. And we are also holding,137.18,142.98
"(142.98, 145.28)", this meeting remotely via zoom and can,142.98,145.28
"(145.28, 153.2)", be watched live on youtube for those who are here to testify in zoom we will let you into the meeting,145.28,153.2
"(153.2, 158.96)", when we will be hearing the item you wish to testify on please remember to turn off your,153.2,158.96
"(158.96, 166.88)", youtube when you are in the main zoom meeting room or we will get an echo when you enter please be sure to keep,158.96,166.88
"(166.88, 173.6)", your camera off and the microphone muted until the commission calls on you for public testimony,166.88,173.6
"(174.16, 179.76)", we ask that members of the public testifying on the agenda items limit your testimony to three,174.16,179.76
"(179.76, 185.14)", minutes so that we can get to hear everyone. Please be mindful of everyone.,179.76,185.14
"(186.28, 191.0)"," And again, if you can limit your testimony.",186.28,191.0
"(191.0, 194.8)", Please remember not to use the chat for any comments,191.0,194.8
"(194.8, 197.66)", because that presents a sunshine issue.,194.8,197.66
"(197.66, 199.96)"," Please also testify via,",197.66,199.96
"(199.96, 202.56)", you may also testify via telephone,199.96,202.56
"(202.56, 205.22)", at the number posted online.,202.56,205.22
"(205.22, 210.66)", Please let the Commission Secretary know your name and what agenda item you wish to testify,205.22,210.66
"(210.66, 213.7)", on so we can call you for that item.,210.66,213.7
"(213.7, 224.0)", You can also email your testimony via email to nadine.h.pomroy at hawaii.gov or to dlnr.seaworm,213.7,224.0
"(224.0, 229.22)"," at hawaii.gov or to dnr.seaworm at hawaii.gov. For all meeting participants, I would like to stress",224.0,229.22
"(229.22, 236.02)"," the importance of speaking slowly and clearly and directly into your microphone. Before speaking,",229.22,236.02
"(236.02, 246.0)", please state your name and identify yourself for the record. I am going to read the standard contested case statement.,236.02,246.0
"(246.0, 255.0)", I thought I was going to read it.,246.0,255.0
"(255.0, 257.0)"," Ah, I found it. Okay.",255.0,257.0
"(257.0, 267.08)"," In some of the matters before the Commission, a person may wish to request a contested case hearing if such a request is made before the",257.0,267.08
"(267.08, 272.58)", commission's decision then the commission will consider the request first before considering,267.08,272.58
"(272.58, 278.92)", the merits of the item before it a person who wants a contested case may also wait until the,272.58,278.92
"(278.92, 286.8)", commission decides the issue then request a contested case after the decision it is up to you any request must be,278.92,286.8
"(286.8, 293.76)", made orally by the end of the meeting and followed up in writing within 10 days if no request for a,286.8,293.76
"(293.76, 299.28)", contested case hearing is made the commission will make a decision the department will treat,293.76,299.28
"(299.28, 309.76)", the decision as final and proceed accordingly i will now take roll call i will now ask the commissioners,299.28,309.76
"(309.76, 315.92)", to introduce themselves and if they are participating remotely please state where,309.76,315.92
"(315.92, 327.0)", whether anyone is in the room with you i'll first go to Mike Buck.,315.92,327.0
"(327.0, 329.0)"," Hello, Michael Buck.",327.0,329.0
"(329.0, 331.0)", Neil?,329.0,331.0
"(331.0, 333.0)", Neil Hannes.,331.0,333.0
"(333.0, 335.0)", I'm alone in my office.,333.0,335.0
"(335.0, 337.0)", Wayne Katayama.,335.0,337.0
"(337.0, 339.0)"," Hi, good morning.",337.0,339.0
"(339.0, 341.0)", I'm alone here.,339.0,341.0
"(341.0, 343.0)", I'm here to ask you to please,341.0,343.0
"(343.0, 349.2)", introduce yourself and your name. hello my uh neil hannes i'm alone in my office wayne katayama hi good morning i'm alone here,343.0,349.2
"(351.04, 360.64)", it sounds so sad i'm alone here it is it is i look forward to when we are all together paul,351.04,360.64
"(362.32, 366.72)", good morning um i i i am also in my office all alone,362.32,366.72
"(368.88, 376.64)", joanna good morning joanna sito i am alone in my office very good thank you again,368.88,376.64
"(376.64, 389.68)", and present are our staff we have deputy khalil manuel um we also have nadine pomroy our commission secretary and deputy attorney general,376.64,389.68
"(389.68, 397.76)", julie chino so we have no items that have been requested to be moved up so we will follow the,389.68,397.76
"(397.76, 406.7)"," agenda the first item on the agenda is approval of the minutes of April 18, 2003.",397.76,406.7
"(410.32, 414.28)"," Nadine, have we received any written comments on the minutes?",410.32,414.28
"(415.48, 416.74)", It was edited.,415.48,416.74
"(417.66, 418.02)", No.,417.66,418.02
"(419.04, 422.9)"," I have minor corrections, non-substantive.",419.04,422.9
"(423.02, 429.44)", Okay. minor um corrections non-substantive okay yeah um any other comments anybody in the audience,423.02,429.44
"(429.44, 437.28)", wanting to make a comment on our minutes seeing none commissioners um do i have a motion,429.44,437.28
"(442.16, 457.0)"," move approval Okay, there's been a motion to approve and second the April 18, 2,023 with some minor non-substantive comments made by Commissioner Kagawa Viviani.",442.16,457.0
"(457.0, 469.92)"," All in favor. I think first one. Okay, let's do a roll call um maybe could you please do the roll call okay",457.0,469.92
"(471.92, 486.0)", commissioner buck hi commissioner hannes hi commissioner kagawa viviani Aye. Commissioner Katayama? Aye. Commissioner Meyer? Aye.,471.92,486.0
"(486.0, 493.0)", Commissioner Sato? Aye.,486.0,493.0
"(493.0, 498.0)", Chair Tannen. Aye. The motion has been unanimously approved.,493.0,498.0
"(498.0, 508.18)"," Let's move on to agenda item, action items B1, which is the approval of a stream diversion works permit",498.0,508.18
"(508.18, 511.24)"," application and special conditions,",508.18,511.24
"(511.24, 513.86)"," East Maui Irrigation Company, LLC.",511.24,513.86
"(514.72, 515.56)", Hello?,514.72,515.56
"(515.56, 519.66)"," So chair, Dean Ueno will be presenting this item",515.56,519.66
"(519.66, 521.08)", for the commission.,519.66,521.08
"(521.08, 521.92)", Very good.,521.08,521.92
"(521.92, 522.82)", Dean?,521.92,522.82
"(522.82, 524.34)"," Good morning commissioners, Dean Ueno",522.82,524.34
"(524.34, 530.56)", with the commission stream protection and management branch uh on item agenda uh agenda item b1 and this is for,524.34,530.56
"(530.56, 538.08)", approval of stream diversion works permit uh application sdwp.5990.6 along with special,530.56,538.08
"(538.08, 550.32)", conditions for east mile irrigation company llc and note this is for modifications of stream diversion numbers 215 185 308 196 and 194,538.08,550.32
"(550.32, 560.16)", to fix leaks and provide habitat connectivity on lava Kailua Puola and streams in East Maui and,550.32,560.16
"(560.16, 573.76)", we're also asking that you declare that the project is exempt from environment and environmental assessment uh requirements under uh hrs chapter 343 and har chapter 11-200.1 um the commission,560.16,573.76
"(573.76, 578.8)", staff stands on its on its testimony or exceeding on its submittal and i'm going to jump right to,573.76,578.8
"(578.8, 586.04)"," the recommendations and read that for the record um the staff is asking that the commission,",578.8,586.04
"(586.04, 588.38)"," number one, approve stream diversion works permit application",586.04,588.38
"(588.38, 592.0)"," SDWP.59906.6,",588.38,592.0
"(592.0, 594.38)", submitted by East Maui Irrigation Company LLC,592.0,594.38
"(594.38, 596.82)", that proposes to modify diversion 215,594.38,596.82
"(596.82, 598.82)"," on the Hoʻolawa stream,",596.82,598.82
"(598.82, 601.44)"," diversion 185 on the Kailua stream,",598.82,601.44
"(601.44, 607.94)"," diversions 308 and 196 on the Oʻopola Stream, and Diversion 194 on Ka'aea",601.44,607.94
"(607.94, 613.22)", Stream to fix leaks and provide habitat connectivity subject to the standard conditions in Exhibit,607.94,613.22
"(613.22, 615.24)", 4 and the special conditions below.,613.22,615.24
"(616.66, 621.74)"," Diversion 215 on the Ho'olawa Stream is in the Special Management Area, or SMA, District",616.66,621.74
"(621.74, 625.44)", and subject to regulation by the County of Maui Planning Department. So issuance of this permit shall be subject to a determination whether an SMA district and subject to regulation by the county Maui planning department. So,621.74,625.44
"(625.44, 629.86)", issuance of this permit shall be subject to the determination whether an SMA permit is,625.44,629.86
"(629.86, 634.14)"," required. If not required, the applicant shall provide evidence of consultation with the",629.86,634.14
"(634.14, 638.46)"," Maui planning department. If an SMA is required, the applicant shall provide a copy of the",634.14,638.46
"(638.46, 643.62)", SMA permit prior to issuance of the Stream Diversion Works permit. In conformance with,638.46,643.62
"(643.62, 649.6)", the Division of Aquatic Resources recommendations incorporated by reference in exhibit one the best management practices or,643.62,649.6
"(649.6, 654.8)", bmps should be implemented in the sdwp that help to minimize the impacts of the water on the water,649.6,654.8
