timestamp,text,start_time,end_time
"(0.0, 3.0)", One minute.,0.0,3.0
"(3.0, 4.0)", Okay.,3.0,4.0
"(22.0, 26.72)"," Yeah, we'll wait till to on the dot",22.0,26.72
"(27.68, 40.64)", julie,27.68,40.64
"(48.0, 50.0)", keep the running tabs while you're doing it. You'll want that for your mom.,48.0,50.0
"(50.0, 53.0)", I think somebody's got to turn off their mic.,50.0,53.0
"(53.0, 55.0)"," Yeah, Kathy.",53.0,55.0
"(55.0, 58.0)", Leave computer audio.,55.0,58.0
"(62.0, 64.0)", Okay.,62.0,64.0
"(64.0, 68.4)", Okay. Are we ready?,64.0,68.4
"(68.4, 71.52)"," Miss Yoda, she is the key person for today.",68.4,71.52
"(71.52, 72.52)", Are we ready?,71.52,72.52
"(72.52, 75.92)", You got to wait one minute.,72.52,75.92
"(75.92, 97.12)", So efficient. I was about to be twisted this way because that's what we're used to but I just realized.,75.92,97.12
"(97.12, 101.12)", You can explain.,97.12,101.12
"(101.12, 109.0)", But there seems to be intuitively you want to go there. Modern technology.,101.12,109.0
"(109.0, 113.0)", More.,109.0,113.0
"(113.0, 122.0)", Okay.,113.0,122.0
"(122.0, 126.0)", Okay.,122.0,126.0
"(128.0, 132.0)", All right. I tell you I'm very lucky.,128.0,132.0
"(132.0, 134.0)", Aloha mai kakou.,132.0,134.0
"(134.0, 136.0)", My name is Dawn Chang.,134.0,136.0
"(136.0, 142.0)", I am the Governor's nominee of the Chair of the Board of Land and Natural Resources and Chair of the Water Commission.,136.0,142.0
"(142.0, 145.88)"," I'm humbled and honored to serve as the Water Commission chair,",142.0,145.88
"(146.38, 148.18)", but I'm also very little nervous.,146.38,148.18
"(149.18, 153.66)"," This is my first Water Commission hearing, so please be kind to me,",149.18,153.66
"(154.34, 159.34)"," but I apologize in advance if I misstep, so please bear with me.",154.34,159.34
"(159.96, 167.36)"," This is a January 24, 2023 meeting of the commission on water resource management it is we",159.96,167.36
"(167.36, 177.92)", are on time 2 p.m and you know my style is we're going to move quickly so we can go home early,167.36,177.92
"(178.48, 182.48)", all right okay so we are holding this meeting as a hybrid meeting,178.48,182.48
"(183.28, 185.76)", some of us are in person in the kalani moku,183.28,185.76
"(185.76, 194.72)", building boardroom in honolulu and others are being are calling in remotely via zoom and others,185.76,194.72
"(194.72, 202.08)", are watching it live on youtube for those here to testify in zoom we will let you into the meeting,194.72,202.08
"(202.08, 206.66)", room when we when we will be hearing your item that you wish,202.08,206.66
"(206.66, 213.18)", to testify on please remember to turn off your youtube when you come when you're you are in the,206.66,213.18
"(213.18, 219.42)", main zoom meeting room or we're going to get an echo like what we were getting from miss,213.18,219.42
"(219.42, 226.16)", ho who didn't turn off her YouTube.,219.42,226.16
"(226.16, 228.88)"," Just joking, just joking.",226.16,228.88
"(228.88, 233.44)"," When you enter, please be sure to keep your camera off and microphone muted until the",228.88,233.44
"(233.44, 237.3)", Commission calls on you for public testimony.,233.44,237.3
"(237.3, 242.62)"," We ask the members of the public testifying on agenda items, limit your testimony to three",237.3,242.62
"(242.62, 247.12)", minutes so that we can get through everyone and please,242.62,247.12
"(247.12, 253.52)", remember not to use the chat for any comments because that presents a sunshine issue people,247.12,253.52
"(253.52, 260.48)", may testify via telephone at the number posted online that is correct right okay please let our,253.52,260.48
"(260.48, 267.26)", board secretary ms yoda know your name and what agenda item you wish to testify on,260.48,267.26
"(267.26, 269.6)", so we can call you for that item.,267.26,269.6
"(269.6, 271.98)"," You can also email your testimony,",269.6,271.98
"(271.98, 273.24)", and mahalo to many of you,271.98,273.24
"(273.24, 276.24)", who have already submitted testimony.,273.24,276.24
"(277.12, 281.28)"," You can email it to kathy, K-A-T-H-Y,",277.12,281.28
"(281.28, 294.96)"," dot S, dot Yoda, Y-O-D-A, at hawaii.gov or to dlnr.cwrm at hawaii.gov for all meeting participants i would like to stress",281.28,294.96
"(294.96, 307.84)", the importance of speaking slowly clearly and directly before speaking please state your name and identify yourself for our records i will now read the contested,294.96,307.84
"(307.84, 313.76)", case statement that's in our agenda for those of you who may not have received our agenda,307.84,313.76
"(316.24, 327.86)", i will also read that the commission may go into executive session pursuant to 92-5A4 Hawaii revised statutes in order to consult with its attorney,316.24,327.86
"(327.86, 334.44)"," on questions and issues pertaining to the commission's powers, duties, privileges, immunities",327.86,334.44
"(334.44, 340.54)", and liabilities. Materials related to the items on this agenda are available for review,334.44,340.54
"(340.54, 347.12)", at our office at 1151 Punchbowl Street and will be made available at the at,340.54,347.12
"(347.12, 353.76)"," the meeting. It's also available online, correct? So in some matters before the Commission,",347.12,353.76
"(353.76, 360.96)"," I got the wrong glasses on. Okay, oh there we go. A person may wish to request a contested",353.76,360.96
"(360.96, 365.52)"," case hearing. If such a request is made before the Commission's decision,",360.96,365.52
"(366.32, 371.34)", then the Commission will consider the request first before considering the merits of the item,366.32,371.34
"(371.34, 377.56)"," before. A person who wants a contested case may also wait until the Commissioners decide the issue,",371.34,377.56
"(378.1, 386.56)", then present the contested case after the decision. It is up to you any request must be made orally by the end of the meeting and followed,378.1,386.56
"(386.56, 392.96)", up in writing within 10 days if no request for a contested case is made the commission will make,386.56,392.96
"(392.96, 401.68)", a decision the department will treat the decision as final and proceed accordingly so with that,392.96,401.68
"(401.68, 405.42)", i'm going to go back to our agenda.,401.68,405.42
"(408.14, 408.52)", I'm going to take a roll call of all the commissioners.,408.14,408.52
"(414.94, 416.14)"," Please state your name, and if you are participating remotely, please state whether anyone is in the room with you.",414.94,416.14
"(417.92, 418.98)"," Michael Buck, could you start, please?",417.92,418.98
"(419.88, 419.98)", Aloha kakou.,419.88,419.98
"(422.14, 422.86)"," My name is Michael Buck, and I am in a room by myself.",422.14,422.86
"(423.38, 423.96)", Thank you.,423.38,423.96
"(425.5, 429.18)", Neil Hannes. Neil Hannes and I'm here at the commission hearing room,425.5,429.18
"(429.18, 431.28)", and I like what you've done with the place.,429.18,431.28
"(433.44, 436.08)", Dr. Aurora Kagawa Viviani.,433.44,436.08
"(437.34, 440.9)"," Aloha, Aurora Kagawa Viviani in Manoa",437.34,440.9
"(440.9, 443.08)", in an office by myself.,440.9,443.08
"(443.08, 444.5)", Thank you.,443.08,444.5
"(444.5, 445.52)", Wayne Katayama,444.5,445.52
"(448.64, 457.28)", i'm here in my office alone thank you happy new year to you too um mr paul meyer,448.64,457.28
"(460.16, 469.16)"," oh you're on mute, Mr. Meyer. Thank you. Sorry about that. Good afternoon and congratulations.",460.16,469.16
"(471.04, 474.92)", I'm here in my home office and all alone.,471.04,474.92
"(475.66, 477.74)", Thank you. Miss Kathy Ho.,475.66,477.74
"(481.16, 486.0)"," Kathleen Ho, I am in my office and I am alone.",481.16,486.0
"(486.0, 488.0)", Thank you very much.,486.0,488.0
"(488.0, 491.0)"," Kahlil, could you please introduce your staff?",488.0,491.0
"(491.0, 492.0)"," Sure. Thanks, Chair.",491.0,492.0
"(492.0, 496.0)"," So in the room with staff, so I don't forget, we'll go left to right.",492.0,496.0
"(496.0, 499.0)", So we have Barrett.,496.0,499.0
"(499.0, 502.0)"," He's with our IT division, our IT support.",499.0,502.0
"(502.0, 507.0)"," We have Kathy Yoda, who's acting as our commission secretary. Thank you, Kathy.",502.0,507.0
"(507.0, 528.08)"," For all you do. We have Neil Fujii with our planning branch. And maybe if you're sorry you're missing from the larger screen so they're here. We have Katie Roth, she's our legal fellow uh aaron dr aaron schrock who's with our stream protection",507.0,528.08
"(528.08, 534.56)", and management branch also next to him um is cody ching uh with our stream protection and management,528.08,534.56
"(534.56, 540.08)", branch and then patrick casey um one of our geologists with our survey branch i think that's,534.56,540.08
"(540.08, 546.32)", it from our water commission staff that's physically in the room and then on zoom we have,540.08,546.32
"(546.32, 552.48)", the head of our groundwater branch ryan imatha um as well as the head of our stream protection and,546.32,552.48
"(552.48, 559.36)", management branch uh dean ueno and i think that is it for the water commission staff that's here,552.48,559.36
"(559.36, 565.6)", today and i would like to recognize that we have deputy attorney general julie chino also remotely,559.36,565.6
"(567.84, 574.8)", aloha everyone okay now i don't think we have um miss yoda do we have any move up items,567.84,574.8
"(575.6, 588.72)", nope all right so the first item on the agenda is item a it is approval of the minutes of november 15 2022. um miss yoda has there been any written testimony,575.6,588.72
"(588.72, 598.56)", on these minutes no that's a new question okay all right um are there any members of the public,588.72,598.56
"(598.56, 607.0)"," who wish to testify all right give us one minute, while we get everybody in the room.",598.56,607.0
"(607.0, 608.0)", Okay.,607.0,608.0
"(608.0, 613.0)", There are a number of testifiers too that we do not know.,608.0,613.0
"(613.0, 615.0)", Not for the minutes.,613.0,615.0
"(615.0, 617.0)"," Oh, sorry.",615.0,617.0
"(617.0, 619.0)"," Yeah, thank you.",617.0,619.0
"(619.0, 625.44)", I'm just going to take any public testimony on the yep i'm just going to take the any public testimony on the minutes i do want to give,619.0,625.44
"(625.44, 633.76)", the public an opportunity to participate if they have a particular agenda item all right um if,625.44,633.76
"(633.76, 648.0)", there are none do i have a motion to adopt the minutes of november 15 2022 so moved mr meyer second mr katayama um,633.76,648.0
"(650.8, 656.72)", a motion has been made and seconded to adopt the minutes of november 15 2022,650.8,656.72
"(659.6, 669.92)", all in favor say aye aye and any opposed this is my first water commission meeting so i'm just wondering do,659.6,669.92
"(669.92, 675.76)", i need to do a roll call since this is the first motion you have if you want to chair but it's not,669.92,675.76
"(675.76, 680.64)", required i don't think okay all right so i heard i heard no opposition so the minutes are,675.76,680.64
"(680.64, 685.2)", unanimously approved thank you very much sure we just said that we might send a note to,680.64,685.2
"(685.2, 690.16)", rayanne hyatt who so ably dispatched these duties these past several years and thank,685.2,690.16
"(690.16, 694.48)", her for her service but it feels like we're in good hands with yoda returning,690.16,694.48
"(696.72, 698.08)", has re-entered the room,696.72,698.08
"(700.56, 708.32)", oh how can you resist that you must stay thank you indeed though um i appreciate the comment and,700.56,708.32
"(709.04, 718.08)", maybe khalil you can come in yeah okay so next item on the agenda is item b1 and um,709.04,718.08
"(718.96, 727.04)", miss yoda could you bring the testifiers to the zoom room for item b1,718.96,727.04
"(734.08, 735.6)", staff miss roth are you gonna are you gonna present the submit all right uh aloha chair,734.08,735.6
"(736.72, 739.36)", um item b1,736.72,739.36
"(750.0, 752.0)", is everyone in Okay. You just set us on your for caffeine. Give me a.,750.0,752.0
"(752.0, 778.0)"," We do have a couple people that I have not been able to verify so. For the person identified as Lopez panelists, which item are you here for?",752.0,778.0
"(778.0, 781.0)", See one.,778.0,781.0
"(781.0, 788.0)", And Roger. Okay. Got it. I think we should be good. Thank you.,781.0,788.0
"(788.0, 792.0)", Thank you. Go ahead.,788.0,792.0
"(792.0, 797.0)", Aloha chair commissioners Katie Ross planning program manager with the commission.,792.0,797.0
"(797.0, 805.12)", Item B one is approval of chairpersons appointment of Marvin Kaleo Manuel as first deputy to the chairperson of the commission on water,797.0,805.12
"(805.12, 812.64)", resource management Mr. Manuel has served as deputy since January 28 2019 and has been instrumental in,805.12,812.64
"(812.64, 817.52)", moving forward significant decisions by the commission a list of those major accomplishments,812.64,817.52
"(817.52, 822.64)", are in the middle along with background and his resume and I'm happy to answer any questions you,817.52,822.64
"(822.64, 830.4)", may have otherwise staff stands on the middle thank you so very much I appreciate that commissioners do you have any questions for staff,822.64,830.4
"(833.04, 833.68)", commissioners,833.04,833.68
"(839.2, 849.36)", before taking public testimony um miss yoda could you please read for the record the names of the public,839.2,849.36
"(849.36, 865.76)", testimony that we have received to date and their position on the appointment Kevin Sheldon in support. Koko Aptal-Legreno in support.,849.36,865.76
"(865.76, 868.44)", Leimanu Damate in support.,865.76,868.44
"(869.52, 872.08)", Kaneo Lani Stewart.,869.52,872.08
"(875.4, 877.64)"," They're gonna orally testify, so I'm not sure.",875.4,877.64
"(877.64, 879.48)", Keikai Ke'ahi.,877.64,879.48
"(880.34, 883.6)", Wayne Chung Tanaka in support.,880.34,883.6
"(883.6, 885.5)", Karen Kanekua. Isaac Moriwaka in support. Karen Kanekua.,883.6,885.5
"(885.5, 888.5)", Isaac Moriwaki in support.,885.5,888.5
"(888.5, 891.42)", Dr. Kamona Beamer.,888.5,891.42
"(891.64, 895.28)", Kapua Sproul in support.,891.64,895.28
"(895.28, 898.52)", Tamara Palton in support.,895.28,898.52
"(899.04, 903.18)", Ashley Aubrey in support.,899.04,903.18
"(903.18, 907.12)"," Rihanna Khalili in support, Riana Khalili in support,",903.18,907.12
"(907.12, 910.56)"," Mike Atherton in support,",907.12,910.56
"(910.56, 913.96)"," Wilani Tanigawa-Lum in support,",910.56,913.96
"(913.96, 916.6)"," Eric Meek in support,",913.96,916.6
"(916.6, 919.4)"," Jocelyn Dong in support,",916.6,919.4
"(919.4, 922.0)"," Devon Haia in support,",919.4,922.0
"(922.0, 926.0)"," Pahuk Lindsey Asim in support, Rayann Hyatt in support, support, support,",922.0,926.0
"(926.0, 928.0)"," support,",926.0,928.0
"(928.0, 930.0)"," support,",928.0,930.0
"(930.0, 932.0)"," support,",930.0,932.0
"(932.0, 934.0)"," support,",932.0,934.0
"(934.0, 936.0)"," support,",934.0,936.0
"(936.0, 938.0)"," support,",936.0,938.0
"(938.0, 940.0)"," support,",938.0,940.0
"(940.0, 942.0)"," support,",940.0,942.0
"(942.0, 944.0)"," support,",942.0,944.0
"(944.0, 950.1)"," support, support, Kyle Nakan Nailua in support, Kainani Medeiros and Ohana in support, Chris Kobayashi",944.0,950.1
"(950.1, 957.68)"," in support. I'm sorry, I'm not going to be able to pronounce this middle name, so Noel",950.1,957.68
"(957.68, 968.18)"," Shaw in support, Rebecca Justine Iolani-Soon in support. Charlie Ice opposed.",957.68,968.18
"(968.18, 971.16)", Vicky Hope Sakamine in support.,968.18,971.16
"(972.14, 974.36)", Sarde Freitas in support.,972.14,974.36
"(975.84, 978.22)", Joanna Kaona.,975.84,978.22
"(979.36, 980.52)", Arnein Yamada.,979.36,980.52
"(983.2, 984.5)"," Thank you very much, Ms. Shota.",983.2,984.5
"(984.5, 990.64)", I appreciate that um i will now take public testimony on item,984.5,990.64
"(991.28, 996.24)", b1 and how do you do this in the order there's an order there,991.28,996.24
"(1001.12, 1009.0)", so um the first person that i have is ke Chang and after Kevin Chang I have Kanoilani Stewart.,1001.12,1009.0
"(1009.0, 1014.0)"," So Kevin, could you please state your name and provide your testimony?",1009.0,1014.0
"(1014.0, 1025.12)"," Aloha Kevin Chang in support of Kaleo Manuel. Personally, I just want to say that I didn't know his name was Marvin. I've known him for 20 years.",1014.0,1025.12
"(1025.92, 1030.48)", I never thought I'd see any of us doing the kind of work we're doing today. I'm very,1025.92,1030.48
"(1031.12, 1037.92)"," proud of him as an individual. On behalf of my organization, oh and I like Ryan's guitars,",1031.12,1037.92
"(1037.92, 1048.2)"," nice guitars, Ryan Imata, but on behalf of my organization, I just wanna say that I think Kaleo has opened like an ear",1037.92,1048.2
"(1048.38, 1051.76)", to the folks in the communities we serve,1048.38,1051.76
"(1051.76, 1055.12)"," to talk about the significance of water to their culture,",1051.76,1055.12
"(1055.12, 1056.24)"," but not just the culture,",1055.12,1056.24
"(1056.24, 1059.08)"," but the ecosystems that uphold their culture,",1056.24,1059.08
"(1059.08, 1061.8)"," the healthy streams, the healthy local eel,",1059.08,1061.8
