text,action_item,section,date
Yeah.,0,C1,05/21/2024
The budget matters.,0,C1,05/21/2024
Back in February.,0,C1,05/21/2024
We should.,0,C1,05/21/2024
Or ʻEleʻele. 65,0,C2,04/16/2024
"Aloha, Chair.",0,C2,04/16/2024
I agree.,1,B4,07/23/2024
"Yeah, ours does.",1,B4,07/23/2024
UNANIMOUSLY APPROVED (MIIKE/KATAYAMA/HANNAHS/CHANG/MEYER/KAGAWA-VIVIANI/HO),1,B3,01/30/2024
"No, I don’t.",1,B2,09/19/2023
It shouldn’t be.,1,B2,09/19/2023
Ryan can answer.,1,B2,09/19/2023
Yes.,0,C2,03/19/2024
Correct.,1,B1,07/23/2024
UNANIMOUSLY APPROVED (MIIKE/KATAYAMA/HANNAHS/CHANG/MEYER/KAGAWA-VIVIANI/HO),1,B6,01/30/2024
"Yeah, Ryan.",0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
"Yeah, I mean",0,C1,06/20/2023
In theory.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
"Okay, okay. Just",0,C1,06/20/2023
Let me,0,C1,06/20/2023
Go ahead.,0,C1,06/20/2023
"No, go ahead.",0,C1,06/20/2023
Yep.,0,C1,06/20/2023
Yep.,0,C1,06/20/2023
"No, that's",0,C1,06/20/2023
"Yeah, yeah.",0,C1,06/20/2023
Sure.,0,C1,06/20/2023
I can tell.(Laughter.),0,C1,06/20/2023
Shall I continue?,0,C1,06/20/2023
Yep.,0,C1,06/20/2023
"Yes, go ahead.",0,C1,06/20/2023
Sure.,0,C1,06/20/2023
"Okay, all right.",0,C1,06/20/2023
Right.,0,C1,06/20/2023
Okay.,0,C1,06/20/2023
"Right, yeah.",0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
"Okay, thanks.",0,C1,06/20/2023
It came back.,0,C1,06/20/2023
"So, Mike.",0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Right.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
All right.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
into that.,0,C1,06/20/2023
"Yeah, yeah.",0,C1,06/20/2023
"Yeah, yes, yes.",0,C1,06/20/2023
Right.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Okay. So,0,C1,06/20/2023
Go ahead.,0,C1,06/20/2023
Okay.,0,C1,06/20/2023
Right.,0,C1,06/20/2023
"Yeah, yeah.",0,C1,06/20/2023
"Yeah, I think",0,C1,06/20/2023
(Inaudible.),0,C1,06/20/2023
Yes.,0,C1,06/20/2023
Right.,0,C1,06/20/2023
Yeah.,0,C1,06/20/2023
Okay.,0,C1,06/20/2023
