timestamp,text,start_time,end_time
"(0.0, 8.0)", I think they're nervous because we have such a large group of friends.,0.0,8.0
"(8.0, 34.78)", We're not used to so many people in the audience. moment of silence makes me very nervous,8.0,34.78
"(34.78, 47.76)", do we need to call frank okay we're okay you got a recorder,34.78,47.76
"(52.72, 54.64)", we're live streaming and we're live recording and we're not going to get my echo,52.72,54.64
"(60.72, 62.88)", the recording is not showing up on our site my site the recording,60.72,62.88
"(67.0, 74.0)"," live stream webinar is being live streamed. The webinar is being live streamed. If not, Kathy Ho is going to diligently take meeting notes.",67.0,74.0
"(74.0, 79.0)", I will.,74.0,79.0
"(79.0, 81.0)", We're good for something.,79.0,81.0
"(81.0, 82.0)", We're good for something.,81.0,82.0
"(82.0, 83.0)", There we go.,82.0,83.0
"(83.0, 84.0)", Right.,83.0,84.0
"(84.0, 93.84)", This is awesome. I still can't. we're good for something we're good there we go right,84.0,93.84
"(93.84, 112.0)", why can't you get connected because that's where something is having to do,93.84,112.0
"(118.4, 121.84)", okay we are going to try this again good morning everyone,118.4,121.84
"(124.16, 127.12)", hopefully you're not going to hear an echo so again my name is,124.16,127.12
"(127.12, 134.0)", dawn chang and i'm actually confirmed so i'm not nominee and i'm not yes i'm actually so,127.12,134.0
"(135.6, 136.48)", yeah i'm good,135.6,136.48
"(139.44, 146.48)", i think so at least i may be dreaming but i think i'm good i think i'm i'm actually confirmed so,139.44,146.48
"(146.48, 151.52)", i'm going to read through some of our our meeting protocols we're holding this meeting as a hybrid,146.48,151.52
"(151.52, 157.52)", meeting some of us are in person in the kalani moka building boardroom in honolulu and we're,151.52,157.52
"(157.52, 163.12)", also holding this meeting remotely via zoom and you can watch it on youtube for those here to,157.52,163.12
"(163.12, 167.88)"," testify in zoom we will let you, we will let you into the meeting",163.12,167.88
"(167.88, 171.88)", when we will be hearing the item you wish to testify on.,167.88,171.88
"(171.88, 174.14)", Please remember to turn off your YouTube,171.88,174.14
"(174.14, 176.32)"," when you're in the main Zoom meeting room,",174.14,176.32
"(176.32, 179.88)", or we will hear an echo just like how you heard mine.,176.32,179.88
"(179.88, 182.96)"," When you enter, please be sure to keep your camera off",179.88,182.96
"(182.96, 188.26)", and microphone muted until the commission calls you for public testimony.,182.96,188.26
"(188.26, 193.82)", We ask that members of the public testifying on an agenda item limit your testimony to,188.26,193.82
"(193.82, 200.12)", no more than three minutes so that everyone has a chance to participate.,193.82,200.12
"(200.12, 204.18)", And please remember not to use a chat for any comments because that presents a sunshine,200.12,204.18
"(204.18, 205.88)", issue.,204.18,205.88
"(205.88, 208.4)", People may also testify via telephone,205.88,208.4
"(208.4, 210.58)", at the number posted online.,208.4,210.58
"(210.58, 213.72)", Please let our commission secretary know your name,210.58,213.72
"(213.72, 217.38)", and what agenda item you wish to testify on.,213.72,217.38
"(217.38, 220.24)", So we can call on you at that item.,217.38,220.24
"(220.24, 230.4)", You may email your testimony via nadine.h.pomeroy at hawaii.gov or to dlnr.seaworm at hawaii.gov.,220.24,230.4
"(231.4, 236.4)"," For all participants, I would like to stress the importance of speaking slowly and clearly.",231.4,236.4
"(237.16, 241.34)"," Before speaking, please state your name and identify yourself for the record.",237.16,241.34
"(241.34, 247.84)", I will now read the contested case,241.34,247.84
"(248.4, 255.76)", statement,248.4,255.76
"(272.16, 278.88)", which is not on my agenda okay we are really providing a very good impression colin do you have it i took on my old agenda ah i do find it,272.16,278.88
"(282.32, 287.04)", in some of the matters before the commission a person may wish to request a contested case,282.32,287.04
"(287.04, 288.04)", hearing.,287.04,288.04
"(288.04, 293.1)"," If such a request is made before the Commission's decision, then the Commission will consider",288.04,293.1
"(293.1, 297.76)", the request first before considering the merits of the item before.,293.1,297.76
"(297.76, 303.68)"," A person who wants a contested case may also wait until the Commission decides the issue,",297.76,303.68
"(303.68, 307.56)", then request a contested case after the decision.,303.68,307.56
"(307.56, 308.88)", It is up to you.,307.56,308.88
"(308.88, 312.24)", Any requests must be made orally by the end of the meeting,308.88,312.24
"(312.24, 315.6)", and followed up in writing within 10 days.,312.24,315.6
"(315.6, 318.26)"," If no request for contested cases made,",315.6,318.26
"(318.26, 320.46)", the commission will make a decision.,318.26,320.46
"(320.46, 323.34)", The department will treat the decision as final,320.46,323.34
"(323.34, 324.56)", and proceed accordingly.,323.34,324.56
"(325.7, 347.6)"," In addition, the commission may also go into executive session pursuant to 92-5A4 Hawaii Revised Statutes in order to consult with its attorney on questions and issues pertaining to the commission's powers, duties, privileges, immunitiesities and liabilities i will now take a roll call of the",325.7,347.6
"(347.6, 353.2)", commissioners please state your name and if you are participating remotely please state whether,347.6,353.2
"(353.2, 365.36)"," anyone else is in the room i'll first go in the in the room kathy kathleen ho i'm in person. Thank you. Let's, Mike Buck. Aloha, Michael Buck, alone. Okay, Neil.",353.2,365.36
"(365.36, 374.36)"," Aloha, my name is Neil Hannes, I'm alone in my office.",365.36,374.36
"(374.36, 377.36)", Dr. Aurora Kagawa Viviani.,374.36,377.36
"(377.36, 383.2)", Aurora Kagawa Viviani and I'm alone in my office.,377.36,383.2
"(383.2, 384.2)", Thank you.,383.2,384.2
"(384.2, 386.96)", Wayne Katayama oh good morning,384.2,386.96
"(386.96, 394.8)", wayne katayama i'm here alone in my office thank you and paul meyer good morning chair um this is,386.96,394.8
"(394.8, 402.56)", paul meyer i'm at home alone in my office thank you thank you very much um i will also introduce,394.8,402.56
"(402.56, 406.84)"," our staff that's present we have deputy Deputy Kaleo Manuel, Nadine",402.56,406.84
"(406.84, 415.54)"," Pomeroy, the Secretary and Deputy Attorney General Colin Lau. With respect to agenda",406.84,415.54
"(415.54, 420.64)"," items, we will hear items generally in the following order that's been on the agenda,",415.54,420.64
"(420.9, 426.08)", unless there's been a request for an item to be moved up there are two items that will be,420.9,426.08
"(426.08, 433.6)", moved up item c1 and c2 do i have a motion to agenda the item to take the item to take the,426.08,433.6
"(433.6, 446.4)", items out of order so moved do i have a second okay paul has a motion has been made and seconded to accept the move of items of c1 and c2 all in favor,433.6,446.4
"(449.2, 456.16)", do i need to do a roll call for the first vote okay um i'll do a roll call so um,449.2,456.16
"(456.16, 472.4)", miss palmer can you do a roll call commissioner holmes aye commissioner buck aye commissioner hannes aye commissioner kagawa viviani aye commissioner kateyama aye commissioner meyer aye,456.16,472.4
"(473.68, 491.0)"," aye a motion has been passed so those two items will be taken as a move up However, I will take the first item which is the approval of the minutes of March 21 2023.",473.68,491.0
"(491.0, 502.0)"," Miss Palmer has there been any testimony on the, on the meeting, meeting notes. Okay. Any members of the public here would like to testify on the meeting notes.",491.0,502.0
"(502.0, 508.48)", Commissioners any corrections or comments to the meeting notes commissioners any corrections or comments to the meeting notes mike buck yes,502.0,508.48
"(509.04, 514.32)", yeah i have no problem with the minutes and we sure you know for nadine to do word for word,509.04,514.32
