timestamp,text,start_time,end_time
"(0.0, 17.76)", okay we're live on youtube,0.0,17.76
"(17.76, 30.48)"," i think that's my cue i'm pounding table, pretending that it's the gavel. So I'm going to call this meeting to order.",17.76,30.48
"(31.28, 37.48)"," Aloha mai kakou. My name is Dawn Chang, and I am the chair of the Commission on Water Resource Management.",31.28,37.48
"(37.48, 46.48)"," I apologize for not being there in present, especially since this is the first meeting of our new commissioner",37.48,46.48
"(46.48, 54.08)", larry miiki this is the january 26 2023 meeting of the commission on water resource management,46.48,54.08
"(56.8, 86.08)", so sorry let me get my phone off um and it is 9 00 a.m We are holding this meeting as a hybrid meeting. Some of us are in person in the Kalani Moko building in the item you wish to testify on please remember to,56.8,86.08
"(86.08, 92.4)", turn off your youtube when you are in the main zoom meeting room or we will get an echo when,86.08,92.4
"(92.4, 98.4)", you enter please be sure to keep your camera off and microphone muted until the commission calls,92.4,98.4
"(98.4, 108.88)", on your public testimony we ask that members of the public testifying on agenda items limit your testimony to 3 min so that we can get everyone.,98.4,108.88
"(108.88, 116.68)"," Please be mindful of everyone, those who are here to testify and remember not to use the chat for any comments.",108.88,116.68
"(116.68, 120.82)", Because that presents a sunshine issue.,116.68,120.82
"(120.82, 126.32)", People may also testify via telephone at the number posted. Please let our Commission,120.82,126.32
"(126.32, 132.96)"," Secretary, Kathy Yoda, know your name and what agenda item you wish to testify on so we can call",126.32,132.96
"(132.96, 151.76)"," on you for that item. You may also email your testimony via email, which we have received, kathy.s.yoda at hawaii.gov or to dlnr.seaworm at hawaii.gov. We will be having several presentations",132.96,151.76
"(151.76, 158.16)"," today. There will be no direct questions from the public to the presenters, only to the commissioners.",151.76,158.16
"(159.44, 169.0)"," And my intent is to provide the commission and the public with good, accurate, and current information, but in a safe environment without contention.",159.44,169.0
"(169.0, 174.0)"," So I really appreciate it. Those of you who have questions, you direct them to the Commission.",169.0,174.0
"(174.0, 186.8)"," For all meeting participants, I would ask that you stress that you speak slowly, clearly, and directly. I will now read the contested case hearing statement.",174.0,186.8
"(187.98, 190.28)"," In some matters before the commission,",187.98,190.28
"(190.28, 194.28)", a person may wish to request a contested case hearing.,190.28,194.28
"(194.28, 198.2)"," If such a request is made before the commission's decision,",194.28,198.2
"(198.2, 200.68)", then the commission will consider the request first,198.2,200.68
"(200.68, 204.56)", before considering the merits of the item before.,200.68,204.56
"(204.56, 206.96)", A person who wants to contest the case may,204.56,206.96
"(207.16, 209.8)"," also wait until the Commission decides the issue,",207.16,209.8
"(210.0, 212.96)", then request to contest the case after the decision.,210.0,212.96
"(213.16, 214.6)", It is up to you.,213.16,214.6
"(214.8, 217.4)", Any request must be made orally by the end,214.8,217.4
"(217.6, 220.92)", of the meeting and followed up in writing within 10 days.,217.6,220.92
"(221.12, 226.86)"," If no request for a contested case is made, the Commission will make a decision.",221.12,226.86
"(226.86, 231.86)", The Department will treat the decision as final and proceed accordingly.,226.86,231.86
"(231.86, 240.9)"," In addition, the Commission may go into Executive Session pursuant to 92-5-A-4 Hawaii Revised",231.86,240.9
"(240.9, 250.24)"," Statutes in order to consult with its attorney on issues or questions pertaining to the Commission's powers, duties, privileges and immunities.",240.9,250.24
"(250.96, 254.56)", I'd like to now take roll call of all the commissioners.,250.96,254.56
"(254.96, 262.64)"," I'd like to first start with those commissioners that are in the boardroom, and then we'll go on those that are that are here remotely.",254.96,262.64
"(264.6, 266.38)", And I am sorry.,264.6,266.38
"(266.62, 269.18)"," So if you could, I do not see the boardroom.",266.62,269.18
"(269.26, 270.3)", I don't have that screen.,269.26,270.3
