timestamp,text,start_time,end_time
"(0.0, 8.16)", they have positions and they have kawaii and they have a walk in oahu you have coffee,0.0,8.16
"(8.16, 19.28)", line you have straw and polymers well it's pretty mission okay are we ready,8.16,19.28
"(30.1, 49.36)", okay very good. Thank you. Thank you. Let me know when. the government,30.1,49.36
"(70.0, 78.44)", that was ugly first uh commission me i had to wear pants for a long time and shoes and shoes oh yeah shoes and socks okay we got the socks man there's no rule on socks okay and they got a match,70.0,78.44
"(78.44, 91.0)", it looks so official all of us. Oh my gosh.,78.44,91.0
"(92.0, 94.0)"," We're live? Uh, yeah. Go ahead, Chair.",92.0,94.0
"(94.0, 97.0)"," Kathy, we're good? Okay.",94.0,97.0
"(99.0, 108.24)", Aloha mai kakou. My name is Dawn Chang and I am chair of the water commission very thank you very much for joining,99.0,108.24
"(108.24, 116.24)", us today this is the june 20th 2023 meeting of the commission on water resource management it is now,108.24,116.24
"(116.24, 123.36)", nine or three we are holding this meeting as a hybrid meeting some of us are here in person,116.24,123.36
"(123.36, 125.92)", actually most of us in in the Kalani Moku,123.36,125.92
"(125.92, 130.96)"," building boardroom in Honolulu, and we are also holding this meeting remotely via Zoom,",125.92,130.96
"(131.22, 137.5)"," and it can be watched live on YouTube. For those who are here to testify in Zoom, we will let you",131.22,137.5
"(137.5, 146.0)", into the meeting when we will be hearing the item you wish to testify on please remember to turn off your youtube when you are,137.5,146.0
"(146.0, 151.76)", in the main zoom meeting room or we will get an echo when you enter please be sure to keep your,146.0,151.76
"(151.76, 158.8)", camera off microphone muted until the commission calls on you for your public testimony we ask,151.76,158.8
"(158.8, 166.96)", that members of the public testifying on agenda items limit your testimony to three minutes so that we can get to get to,158.8,166.96
"(166.96, 173.04)", hear it from everyone and please remember not to use the chat for any comments because that,166.96,173.04
"(173.04, 179.92)", presents a sunshine issue people may also testify via telephone at the number posted online please,173.04,179.92
"(179.92, 186.76)", let our commission secretary know your name and what agenda item you are here to testify on.,179.92,186.76
"(186.76, 197.24)", You can also email your testimony via email kathy.s.yoda at hawaii.gov or dlnr.cwrm at,186.76,197.24
"(197.24, 198.24)", hawaii.gov.,197.24,198.24
"(198.24, 205.58)"," For all meeting participants, I would like to stress the importance of speaking slowly.",198.24,205.58
"(212.44, 213.48)", I am now going to read the contested case statement for the record.,212.44,213.48
"(215.64, 217.12)", If I can find it.,215.64,217.12
"(217.6, 217.76)", Yikes.,217.6,217.76
