timestamp,text,start_time,end_time
"(0.0, 27.0)"," Hello, my name is I don't see Kathy.",0.0,27.0
"(27.0, 31.0)"," Hello, my cock hole. My name is Don Chang.",27.0,31.0
"(31.0, 37.0)"," The governor's nominee is chair of the Board of Man and Natural Resource, and the chair of the Water Commission.",31.0,37.0
"(37.0, 50.08)"," Good morning. This is the March 21st, 2023 meeting of the Commission on Water Resource Management. It is, and I apologize for being late, 9, 10 a.m.",37.0,50.08
"(51.08, 53.86)", We are holding this meeting as a hybrid meeting.,51.08,53.86
"(54.38, 56.9)"," Some of us are in person, Mike Buck and myself,",54.38,56.9
"(57.04, 59.98)"," at the Kalanemoku Building Boardroom in Honolulu,",57.04,59.98
"(60.3, 63.58)", and we are also holding this meeting remotely via Zoom,60.3,63.58
"(63.58, 66.16)", and can be watched live on YouTube.,63.58,66.16
"(66.7, 75.42)"," For those here to testify in Zoom, we will let you into the meeting when we will be hearing the item you wish to testify on.",66.7,75.42
"(75.92, 85.9)"," Please remember to turn off your YouTube when you are in the main Zoom meeting room or we will get an echo. When you enter, please be sure to keep your camera off",75.92,85.9
"(85.9, 89.68)", and microphone muted until the commission calls on you,85.9,89.68
"(89.68, 91.22)", for public testimony.,89.68,91.22
"(92.34, 94.62)", We ask that members of the public testifying,92.34,94.62
"(94.62, 98.56)", on agenda items limit your testimony to three minutes,94.62,98.56
"(98.56, 100.66)", so that we can get to everyone.,98.56,100.66
"(100.66, 103.74)", Please be mindful of everyone here,100.66,103.74
"(103.74, 106.0)", and limit to three minutes as well.,103.74,106.0
"(106.0, 111.14)"," And please remember not to use a chat for any comments, because that presents a sunshine",106.0,111.14
"(111.14, 112.5)", issue.,111.14,112.5
"(112.5, 117.46)", People may also testify via telephone at the number posted online.,112.5,117.46
"(117.46, 122.2)", Please let our commission secretary know your name and what agenda item you wish to testify,117.46,122.2
"(122.2, 126.48)", on so we can call you for that item you can email your,122.2,126.48
"(126.48, 140.08)", testimony via email nadine.h.pomeroy hawaii.gov or dlnr.seaworm hawaii.gov for all meeting,126.48,140.08
"(140.08, 147.76)", participants i would like to stress the importance of speaking slowly clearly and directly for those,140.08,147.76
"(147.76, 152.4)", of us who oh we don't have them oh we have a microphone before speaking please state your name,147.76,152.4
"(152.4, 171.0)", and identify yourself for the record we wish to request a contested case hearing.,152.4,171.0
"(171.0, 176.12)"," If such a request is made before the Commission's decision, then the Commission will consider",171.0,176.12
"(176.12, 181.0)", the request first before considering the merits of the item before it.,176.12,181.0
"(181.0, 186.0)", A person who wants a contested case may also wait until the commission decides the issue,181.0,186.0
"(186.56, 193.44)", then request a contested case hearing after the decision it is up to you any request must be made,186.56,193.44
"(193.44, 199.44)", orally by the end of the meeting and followed up in writing within 10 days if no request for,193.44,199.44
"(199.44, 206.64)", contested case is made the commission will make a decision the department will treat the decision as final,199.44,206.64
"(206.64, 213.68)", and proceed accordingly and the commission may go into executive session i pursue the 92-5,206.64,213.68
"(214.32, 220.88)", parent a parent for hawaii revised statutes in order to consult with the attorney on questions,214.32,220.88
"(220.88, 227.2)"," and issues pertaining to the commission's powers, duties, privileges, immunities, and liabilities.",220.88,227.2
"(233.52, 237.28)", I'd like to take a roll call now of the commissioners.,233.52,237.28
"(237.48, 246.3)"," Please state your name, and if you are participating remotely, please state whether there's anyone in the room with you I'll",237.48,246.3
"(246.3, 253.8)", first go through the members in the boardroom uh yes um Michael Buck here in person and Don,246.3,253.8
"(253.8, 267.54)", Shang chair um next I'll go um Neil Hannis if you can identify yourself Aloha Neilis. I'm in my office by myself. Dr. Aurora Kagawa Viviani.,253.8,267.54
"(271.2, 273.6)", I'm in my office by myself.,271.2,273.6
"(274.62, 277.66)", Thank you. Wayne Katayama.,274.62,277.66
"(278.38, 283.78)"," Good morning, Wayne Katayama. I'm here in my office at home by myself.",278.38,283.78
"(284.5, 285.34)", Very good.,284.5,285.34
"(285.34, 286.84)", Paul Meyer.,285.34,286.84
"(286.84, 287.62)"," Good morning, Chair.",286.84,287.62
"(287.62, 288.46)", This is Paul Meyer.,287.62,288.46
"(288.46, 293.92)", I'm at home in my office and all alone.,288.46,293.92
"(293.92, 296.62)", Do I have Kathy Hull?,293.92,296.62
"(296.62, 299.62)"," Joanna Seto for the Department of Health,",296.62,299.62
"(299.62, 301.12)", delegated commissioner this time.,299.62,301.12
"(301.12, 303.88)", And I am in my office by myself.,301.12,303.88
"(303.88, 307.36)", You're in my office. myself very good thank you so much,303.88,307.36
"(309.6, 312.88)", does someone have their um speaker on,309.6,312.88
"(316.4, 325.0)"," all right so i'd like to just introduce staff that are present as well I have Deputy Kaleo Manuel, Seaworm.",316.4,325.0
"(325.1, 330.1)"," I also have our Board Secretary, Nadine Pomeroy,",325.1,330.1
"(330.34, 332.56)"," and Deputy Attorney General, Cindy Young.",330.34,332.56
"(334.16, 338.14)", I'm just gonna go over a few agenda item protocols.,334.16,338.14
"(338.14, 340.46)", Occasionally we will do a move up item,338.14,340.46
"(340.46, 342.18)", and take it out of order.,340.46,342.18
"(342.18, 344.84)", We will hear items generally in the following order,342.18,344.84
"(344.84, 347.62)"," as they were presented on the agenda,",344.84,347.62
"(347.62, 351.44)", unless there has been a request for an item to be moved up.,347.62,351.44
"(351.44, 355.06)"," Ms. Pomeroy, has there been any agenda items",351.44,355.06
"(355.06, 357.56)", that have been redrawn or asked to be moved up,355.06,357.56
"(357.56, 358.44)", on the agenda?,357.56,358.44
"(360.54, 365.0)"," Just B2, Chair, we can move B2 to the end of the agenda.",360.54,365.0
"(365.88, 369.24)"," So not to break up the commission meeting and flow,",365.88,369.24
"(369.24, 371.22)", and we can take action if that's possible.,369.24,371.22
"(371.22, 372.06)", Very good.,371.22,372.06
"(372.06, 377.06)", So a request has been made by Deputy Kahlil Manuel,372.06,377.06
"(378.24, 383.24)", to take out of order item B2.,378.24,383.24
"(392.8, 399.92)", Do I have anyany all in favor do we approve do we need to put don't need to okay i just want to be very clear so for those of you that may be on the maybe in zoom we're going to take item b2,392.8,399.92
"(399.92, 405.68)", out of order and it will be at the end of the agenda. It's executive session as well.,399.92,405.68
"(405.68, 406.52)", Yeah.,405.68,406.52
"(406.52, 407.36)", No problem.,406.52,407.36
"(409.1, 409.94)", Thank you.,409.1,409.94
"(411.34, 412.5)", C1 is off right now.,411.34,412.5
"(413.96, 415.12)", C...,413.96,415.12
"(416.58, 417.94)"," Sorry, that was Kapolei.",416.58,417.94
"(417.94, 420.16)", Can you please unmute your...,417.94,420.16
"(422.34, 423.28)", I'll help you out.,422.34,423.28
"(423.28, 424.12)", All right.,423.28,424.12
"(424.12, 424.96)", Mahalo.,424.12,424.96
"(424.96, 435.0)"," I'll just remind everybody again, if you could please mute yourself while you're in the waiting room, and we'll try to call you as quickly as possible.",424.96,435.0
